Tier,Technology,Architecture,Value
B/S1:1.75,.NET,MSx10,0.14416
B/S1:1.75,.NET,MSx10,0.14412
B/S1:1.75,.NET,MSx10,0.14411
B/S1:1.75,.NET,MSx10,0.14439
B/S1:1.75,.NET,MSx10,0.14422
B/S1:1.75,.NET,MSx10,0.14436
B/S1:1.75,.NET,MSx10,0.14575
B/S1:1.75,Java,MSx10,0.17239
B/S1:1.75,Java,MSx10,0.17228
B/S1:1.75,Java,MSx10,0.17153
B/S1:1.75,Java,MSx10,0.17107
B/S1:1.75,Java,MSx10,0.17133
B/S1:1.75,Java,MSx10,0.17112
B/S1:1.75,Java,MSx10,0.17057
B/S1:1.75,Java,MSx10,0.17056
B/S1:1.75,Java,MSx10,0.17025
B/S1:1.75,Java,MSx10,0.171
B/S1:1.75,Java,MSx10,0.17192
B/S1:1.75,Java,MSx10,0.17261
B/S1:1.75,Java,MSx10,0.17247
B/S1:1.75,Java,MSx10,0.17292
B/S1:1.75,Java,MSx10,0.17299
B/S1:1.75,Java,MSx10,0.17294
B/S1:1.75,Java,MSx10,0.17292
B/S1:1.75,Java,MSx10,0.17305
B/S1:1.75,Java,MSx10,0.17313
B/S1:1.75,Java,MSx10,0.17319
S2:3.5,Java,MSx10,0.28693
S2:3.5,Java,MSx10,0.28651
S2:3.5,Java,MSx10,0.28741
S2:3.5,Java,MSx10,0.28778
S2:3.5,Java,MSx10,0.28823
S2:3.5,Java,MSx10,0.28838
S2:3.5,Java,MSx10,0.28819
S2:3.5,Java,MSx10,0.28834
S2:3.5,Java,MSx10,0.28952
S2:3.5,Java,MSx10,0.28998
S2:3.5,Java,MSx10,0.29051
S2:3.5,Java,MSx10,0.29066
S2:3.5,Java,MSx10,0.29079
S2:3.5,Java,MSx10,0.29079
S2:3.5,Java,MSx10,0.29092
S2:3.5,Java,MSx10,0.29116
S2:3.5,Java,MSx10,0.29112
S2:3.5,Java,MSx10,0.29106
S2:3.5,Java,MSx10,0.29109
S2:3.5,Java,MSx10,0.29151
S4:7,Java,MSx10,0.29546
S4:7,Java,MSx10,0.29539
S4:7,Java,MSx10,0.29519
S4:7,Java,MSx10,0.29535
S4:7,Java,MSx10,0.29509
S4:7,Java,MSx10,0.29509
S4:7,Java,MSx10,0.29512
S4:7,Java,MSx10,0.2951
S4:7,Java,MSx10,0.29538
S4:7,Java,MSx10,0.29525
S4:7,Java,MSx10,0.29544
S4:7,Java,MSx10,0.29543
S4:7,Java,MSx10,0.29556
S4:7,Java,MSx10,0.29522
S4:7,Java,MSx10,0.29505
S4:7,Java,MSx10,0.29485
S4:7,Java,MSx10,0.29508
S4:7,Java,MSx10,0.29473
S4:7,Java,MSx10,0.29472
S4:7,Java,MSx10,0.29471
S2:3.5,.NET,MSx10,0.25948
S2:3.5,.NET,MSx10,0.25965
S2:3.5,.NET,MSx10,0.25993
S2:3.5,.NET,MSx10,0.25957
S2:3.5,.NET,MSx10,0.25949
S2:3.5,.NET,MSx10,0.25969
S2:3.5,.NET,MSx10,0.25978
S2:3.5,.NET,MSx10,0.25997
S2:3.5,.NET,MSx10,0.26006
S2:3.5,.NET,MSx10,0.26025
S2:3.5,.NET,MSx10,0.2604
S2:3.5,.NET,MSx10,0.26021
S2:3.5,.NET,MSx10,0.26028
S2:3.5,.NET,MSx10,0.26046
S2:3.5,.NET,MSx10,0.26049
S2:3.5,.NET,MSx10,0.26017
S2:3.5,.NET,MSx10,0.26012
S2:3.5,.NET,MSx10,0.26015
