Tier,Technology,Architecture,Value
S2:3.5,Java,MSx10,3.6253
S2:3.5,Java,MSx10,3.62762
S2:3.5,Java,MSx10,3.62763
S2:3.5,Java,MSx10,3.62766
S2:3.5,Java,MSx10,3.62779
S2:3.5,Java,MSx10,3.62817
S2:3.5,Java,MSx10,3.62818
S2:3.5,Java,MSx10,3.62817
S2:3.5,Java,MSx10,3.62824
S2:3.5,Java,MSx10,3.62826
S2:3.5,Java,MSx10,3.62826
S2:3.5,Java,MSx10,3.62828
S2:3.5,Java,MSx10,3.62826
S2:3.5,Java,MSx10,3.62822
S2:3.5,Java,MSx10,3.62809
S2:3.5,Java,MSx10,3.62808
S2:3.5,Java,MSx10,3.62801
S2:3.5,Java,MSx10,3.62797
S2:3.5,Java,MSx10,3.62789
S2:3.5,Java,MSx10,3.6278
S4:7,Java,MSx10,3.803
S4:7,Java,MSx10,3.80519
S4:7,Java,MSx10,3.80354
S4:7,Java,MSx10,3.80358
S4:7,Java,MSx10,3.80363
S4:7,Java,MSx10,3.8057
S4:7,Java,MSx10,3.80583
S4:7,Java,MSx10,3.80584
S4:7,Java,MSx10,3.80594
S4:7,Java,MSx10,3.80599
S4:7,Java,MSx10,3.80606
S4:7,Java,MSx10,3.80607
S4:7,Java,MSx10,3.80617
S4:7,Java,MSx10,3.8062
S4:7,Java,MSx10,3.8063
S4:7,Java,MSx10,3.80812
S4:7,Java,MSx10,3.80812
S4:7,Java,MSx10,3.8081
S4:7,Java,MSx10,3.80633
S4:7,Java,MSx10,3.807
S2:3.5,.NET,MSx10,3.80845
S2:3.5,.NET,MSx10,3.81077
S2:3.5,.NET,MSx10,3.81076
S2:3.5,.NET,MSx10,3.81082
S2:3.5,.NET,MSx10,3.81082
S2:3.5,.NET,MSx10,3.81082
S2:3.5,.NET,MSx10,3.81082
S2:3.5,.NET,MSx10,3.80923
S2:3.5,.NET,MSx10,3.80923
S2:3.5,.NET,MSx10,3.80926
S2:3.5,.NET,MSx10,3.80951
S2:3.5,.NET,MSx10,3.80952
S2:3.5,.NET,MSx10,3.80964
S2:3.5,.NET,MSx10,3.80963
S2:3.5,.NET,MSx10,3.80961
S2:3.5,.NET,MSx10,3.80961
S2:3.5,.NET,MSx10,3.80963
S2:3.5,.NET,MSx10,3.81143
S2:3.5,.NET,MSx10,3.8124
S2:3.5,.NET,MSx10,3.81286
S4:7,.NET,MSx10,3.81044
S4:7,.NET,MSx10,3.81246
S4:7,.NET,MSx10,3.81218
